  id  ,          date_added           , choice_id , question_id 
118, 2018-10-05 10:38:36.55386+03  ,7,6
119, 2018-10-05 10:38:36.559469+03 ,19,11
120, 2018-10-05 10:41:28.859373+03 ,14,5
121, 2018-10-05 10:41:28.86426+03  ,33,9
122, 2018-10-05 10:41:28.874882+03 ,1,1
123, 2018-10-05 10:41:28.880855+03 ,10,4
124, 2018-10-05 10:41:28.886853+03 ,5,2
125, 2018-10-05 10:41:28.892864+03 ,28,8
126, 2018-10-05 10:41:28.89892+03  ,7,3
127, 2018-10-05 10:41:28.904888+03 ,19,7
128, 2018-10-05 10:41:28.910887+03 ,38,10
129, 2018-10-05 10:41:28.916856+03 ,16,6
130, 2018-10-05 10:41:28.922859+03 ,39,11
131, 2018-10-05 10:43:12.475182+03 ,14,5
132, 2018-10-05 10:43:12.503938+03 ,35,9
133, 2018-10-05 10:43:12.524434+03 ,1,1
134, 2018-10-05 10:43:12.545042+03 ,10,4
135, 2018-10-05 10:43:12.565554+03 ,5,2
136, 2018-10-05 10:43:12.585978+03 ,28,8
137, 2018-10-05 10:43:12.606628+03 ,7,3
138, 2018-10-05 10:43:12.62786+03  ,19,7
139, 2018-10-05 10:43:12.647338+03 ,37,10
140, 2018-10-05 10:43:12.666852+03 ,16,6
141, 2018-10-05 10:43:12.686221+03 ,39,11
142, 2018-10-05 10:43:34.725842+03 ,14,5
143, 2018-10-05 10:43:34.730234+03 ,35,9
144, 2018-10-05 10:43:34.733704+03 ,1,1
145, 2018-10-05 10:43:34.739691+03 ,10,4
146, 2018-10-05 10:43:34.745672+03 ,5,2
147, 2018-10-05 10:43:34.751656+03 ,28,8
148, 2018-10-05 10:43:34.757653+03 ,7,3
149, 2018-10-05 10:43:34.763633+03 ,19,7
150, 2018-10-05 10:43:34.769621+03 ,37,10
151, 2018-10-05 10:43:34.77561+03  ,16,6
152, 2018-10-05 10:43:34.781596+03 ,39,11
153, 2018-10-05 10:44:01.421986+03 ,14,5
154, 2018-10-05 10:44:01.426098+03 ,36,9
155, 2018-10-05 10:44:01.431428+03 ,1,1
156, 2018-10-05 10:44:01.437381+03 ,10,4
157, 2018-10-05 10:44:01.44339+03  ,5,2
158, 2018-10-05 10:44:01.449358+03 ,28,8
159, 2018-10-05 10:44:01.455368+03 ,7,3
160, 2018-10-05 10:44:01.461326+03 ,21,7
161, 2018-10-05 10:44:01.467347+03 ,37,10
162, 2018-10-05 10:44:01.473309+03 ,16,6
163, 2018-10-05 10:44:01.479312+03 ,39,11
164, 2018-10-05 10:44:27.805128+03 ,13,5
165, 2018-10-05 10:44:27.819671+03 ,36,9
166, 2018-10-05 10:44:27.831717+03 ,1,1
167, 2018-10-05 10:44:27.839728+03 ,10,4
168, 2018-10-05 10:44:27.847844+03 ,5,2
169, 2018-10-05 10:44:27.855923+03 ,28,8
170, 2018-10-05 10:44:27.864055+03 ,7,3
171, 2018-10-05 10:44:27.870994+03 ,19,7
172, 2018-10-05 10:44:27.877864+03 ,37,10
173, 2018-10-05 10:44:27.884823+03 ,16,6
174, 2018-10-05 10:44:27.891785+03 ,39,11
175, 2018-10-05 10:44:53.642259+03 ,14,5
176, 2018-10-05 10:44:53.656691+03 ,33,9
177, 2018-10-05 10:44:53.670975+03 ,1,1
178, 2018-10-05 10:44:53.694112+03 ,10,4
179, 2018-10-05 10:44:53.715143+03 ,5,2
180, 2018-10-05 10:44:53.735909+03 ,28,8
181, 2018-10-05 10:44:53.75662+03  ,7,3
182, 2018-10-05 10:44:53.776091+03 ,19,7
183, 2018-10-05 10:44:53.795787+03 ,38,10
184, 2018-10-05 10:44:53.815295+03 ,16,6
185, 2018-10-05 10:44:53.834865+03 ,39,11
186, 2018-10-05 10:46:26.236684+03 ,14,5
187, 2018-10-05 10:46:26.251147+03 ,35,9
188, 2018-10-05 10:46:26.262082+03 ,1,1
189, 2018-10-05 10:46:26.270071+03 ,10,4
190, 2018-10-05 10:46:26.291807+03 ,5,2
191, 2018-10-05 10:46:26.313331+03 ,28,8
192, 2018-10-05 10:46:26.334405+03 ,7,3
193, 2018-10-05 10:46:26.353941+03 ,20,7
194, 2018-10-05 10:46:26.37344+03  ,38,10
195, 2018-10-05 10:46:26.39569+03  ,16,6
196, 2018-10-05 10:46:26.415279+03 ,39,11
197, 2018-10-05 10:47:17.710885+03 ,14,5
198, 2018-10-05 10:47:17.715312+03 ,36,9
199, 2018-10-05 10:47:17.721581+03 ,1,4
200, 2018-10-05 10:47:17.727557+03 ,10,1
201, 2018-10-05 10:47:17.733539+03 ,2,2
202, 2018-10-05 10:47:17.739541+03 ,4,8
203, 2018-10-05 10:47:17.745518+03 ,28,3
204, 2018-10-05 10:47:17.751505+03 ,7,7
205, 2018-10-05 10:47:17.757488+03 ,19,10
206, 2018-10-05 10:47:17.763508+03 ,38,6
207, 2018-10-05 10:47:17.769544+03 ,16,11
